,longitude,latitude,name,duration,hours,minutes
548,10.239773,55.330494,,1188.9,0.0,19.0
549,10.238866,55.340973,Brunsegyden,1143.7,0.0,19.0
550,10.370917,55.379996,,0.0,0.0,0.0
551,10.240722,55.360409,Mosegyden,1059.2,0.0,17.0
552,10.243801,55.368394,Kildeholmvej,1015.2,0.0,16.0
553,10.240842,55.389832,,713.4,0.0,11.0
554,10.24091,55.410735,Højbjergvej,918.2,0.0,15.0
555,10.245524,55.423507,,1095.9,0.0,18.0
556,10.239922,55.439965,Rue Hed,1145.9,0.0,19.0
557,10.241492,55.450778,,1354.8,0.0,22.0
558,10.240277,55.469975,Margårdsskovvej,1318.6,0.0,21.0
559,10.242081,55.479028,Industrivej,1352.5,0.0,22.0
560,10.238882,55.498627,,1597.6,0.0,26.0
561,10.239871,55.510189,Tårnbjergvej,1957.0,0.0,32.0
562,10.240137,55.52972,Rostrupvej,1791.4,0.0,29.0
563,10.23745,55.549805,,1858.5,0.0,30.0
564,10.23667,55.561831,Krogen,2126.8,0.0,35.0
565,10.240588,55.577984,,2120.6,0.0,35.0
566,10.238768,55.592366,,2430.9,0.0,40.0
567,10.241247,55.605146,Nørrebystrand,2998.5,0.0,49.0
568,10.274537,54.905205,Tværbymark,6597.1,1.0,49.0
569,10.264563,54.914916,Lebymarksvej,6650.8,1.0,50.0
570,10.26409,54.93197,,6298.7,1.0,44.0
571,10.255764,54.942915,Søby Havn,6264.7,1.0,44.0
572,10.260017,55.020048,Skallevej,5364.8,1.0,29.0
573,10.254556,55.036534,,5014.3,1.0,23.0
574,10.260012,55.090017,Toldertoften,2495.3,0.0,41.0
575,10.370917,55.379996,,0.0,0.0,0.0
576,10.26308,55.10046,,2561.9,0.0,42.0
577,10.262493,55.119969,,2381.9,0.0,39.0
578,10.261156,55.130269,,2316.5,0.0,38.0
579,10.256247,55.150611,Gammelskovvej,2085.2,0.0,34.0
580,10.26151,55.161336,,2102.8,0.0,35.0
581,10.260753,55.180172,,2015.4,0.0,33.0
582,10.262095,55.20163,Nydamsvej,1935.9,0.0,32.0
583,10.258892,55.209377,,1893.9,0.0,31.0
584,10.259032,55.23001,,1575.7,0.0,26.0
585,10.255845,55.240236,,1555.6,0.0,25.0
586,10.260734,55.260499,Odensevej,1446.6,0.0,24.0
587,10.262531,55.269673,Odensevej,1224.3,0.0,20.0
588,10.254342,55.292806,Hjelmerupvej,1520.4,0.0,25.0
589,10.2596,55.299708,,1123.9,0.0,18.0
590,10.2608,55.319955,,1127.8,0.0,18.0
591,10.261121,55.339643,,1196.8,0.0,19.0
592,10.260457,55.350407,,1016.4,0.0,16.0
593,10.259995,55.369728,Elleholmvej,746.6,0.0,12.0
594,10.259836,55.37883,Bøllemosegyden,680.1,0.0,11.0
595,10.260246,55.399982,Kalørvej,686.4,0.0,11.0
596,10.260983,55.410775,,931.2,0.0,15.0
597,10.260356,55.431627,,1219.6,0.0,20.0
598,10.256162,55.440591,Amagervej,1168.6,0.0,19.0
599,10.260425,55.459027,,1232.0,0.0,20.0
600,10.370917,55.379996,,0.0,0.0,0.0
601,10.260253,55.480017,Sømarksvej,1376.1,0.0,22.0
602,10.260028,55.489994,Nordmarksvænget,1500.7,0.0,25.0
603,10.25416,55.512459,,1616.2,0.0,26.0
604,10.260372,55.517416,,1658.7,0.0,27.0
605,10.258794,55.54251,Bogensevej,1709.0,0.0,28.0
606,10.261615,55.551299,Højrup Mosevej,1814.9,0.0,30.0
607,10.259946,55.570218,Nørre Næråvej,2156.8,0.0,35.0
608,10.260514,55.582365,Klintevej,2230.9,0.0,37.0
609,10.265171,55.599476,Halsvej,2372.6,0.0,39.0
610,10.289695,54.895597,Tværbymark,6760.1,1.0,52.0
611,10.278651,54.910407,Kobbelbakken,6518.1,1.0,48.0
612,10.280078,54.920015,Søbygårdsmarksvej,6380.0,1.0,46.0
613,10.282677,54.936943,Søby Nørremarksvej,6506.0,1.0,48.0
614,10.279835,55.019285,Hovedvejen,5362.6,1.0,29.0
615,10.267507,55.028198,,5320.6,1.0,28.0
616,10.283489,55.081087,Ny Holstensprøve,2556.4,0.0,42.0
617,10.277043,55.09063,,2631.4,0.0,43.0
618,10.279245,55.109945,,2498.9,0.0,41.0
619,10.278496,55.129318,,2521.4,0.0,42.0
620,10.28088,55.139044,,2327.5,0.0,38.0
621,10.278001,55.163256,,1958.5,0.0,32.0
622,10.280501,55.170241,Hellebjergvej,1839.9,0.0,30.0
623,10.279562,55.190083,Rishøjvej,1960.9,0.0,32.0
624,10.282474,55.199198,Sandholtvej,1865.2,0.0,31.0
625,10.370917,55.379996,,0.0,0.0,0.0
626,10.274634,55.215691,Thorslundsvej,2081.3,0.0,34.0
627,10.280358,55.228916,Karlsbjergvej,1630.1,0.0,27.0
628,10.278985,55.250555,,1555.2,0.0,25.0
629,10.283621,55.270457,Ny Vestergade,1503.7,0.0,25.0
630,10.278364,55.281297,Ruevej,1323.3,0.0,22.0
631,10.273089,55.302227,Solevadvej,1162.4,0.0,19.0
632,10.280037,55.309992,Humlekrogen,1084.2,0.0,18.0
633,10.280059,55.329511,Vibækvej,1107.4,0.0,18.0
634,10.277763,55.339486,Bindekildevej,1044.2,0.0,17.0
635,10.279445,55.360254,,789.8,0.0,13.0
636,10.279547,55.36826,Nielstrupvej,608.0,0.0,10.0
637,10.28007,55.390008,Vejruplundvej,539.5,0.0,8.0
638,10.2818,55.410131,Tyrsbjergvej,1046.5,0.0,17.0
639,10.279415,55.420027,Lærkevænget,888.3,0.0,14.0
640,10.280297,55.440224,Ålemarksgyden,1167.1,0.0,19.0
641,10.280363,55.450293,Bogensevej,1054.2,0.0,17.0
642,10.281409,55.46997,Holmevej,1565.3,0.0,26.0
643,10.279149,55.480947,Kalvegangen,1486.5,0.0,24.0
644,10.283879,55.500654,,1554.6,0.0,25.0
645,10.279366,55.509861,Stensbyvej,1515.5,0.0,25.0
646,10.278332,55.529982,Bredgade,1725.1,0.0,28.0
647,10.284414,55.552685,,1850.9,0.0,30.0
648,10.2799,55.560302,,1921.3,0.0,32.0
649,10.271415,55.58139,Kissemae,2337.1,0.0,38.0
650,10.370917,55.379996,,0.0,0.0,0.0
651,10.276584,55.590664,,2473.0,0.0,41.0
652,10.27242,55.606523,,2620.2,0.0,43.0
653,10.294612,55.620408,Flyvesandsvej,2668.4,0.0,44.0
654,10.304007,54.884026,Mølledamsvej,7077.4,1.0,57.0
655,10.308695,54.900759,Bregninge Møllevej,6708.5,1.0,51.0
656,10.309779,54.910704,Øverste Skovbymark,6700.6,1.0,51.0
657,10.297429,54.924248,Snorløkke,6723.8,1.0,52.0
658,10.312099,55.011461,Søkildevej,5754.8,1.0,35.0
659,10.305354,55.016699,Hovedvejen,5656.5,1.0,34.0
660,10.312257,55.063323,,3017.1,0.0,50.0
661,10.313192,55.072324,,2878.1,0.0,47.0
662,10.308169,55.089787,Vingårdsvej,2706.9,0.0,45.0
663,10.309286,55.100924,Tjenerhjørnet,2617.2,0.0,43.0
664,10.310888,55.119941,Holstenshuusvej,2406.3,0.0,40.0
